Model,MAE,RMSE,R2
Linear Regression,0.9747855266273397,1.1922377522669174,0.18801574914677632
Random Forest,0.512005738126713,0.741805348673739,0.6856584521834141
XGBoost,0.5100800269353477,0.6551700979699356,0.7547946156688993
